,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,BGT,0.006183745583038913,11.379999999999999,0.080087334,1.8274001,0.917,0.92,10.69146,,5.85,0.0801,2.16637,,12.59,0.529,0.9046863,,21.531193,
0,BGY,0.0037523452157597337,5.355,0.07518518,6.76,0.406,0.41,28.886164,,8.21,0.075100005,0.25821,,5.874,0.048,0.9107933,,111.45833,
0,BHE,0.05508684863523583,21.275,0.029622551,20.666698,0.62,0.64,0.37454465,17.284554,,0.0299,0.00031,1.23,26.998,0.014,0.78746575,1.82,1518.5714,
0,BHP,-0.025211665098776925,51.885000000000005,0.023112483,0.91080004,1.2,2.2,3.0345013,25.39706,4.7,0.0424,0.18531999,2.04,18.956,3.14,2.7331717,,16.5,-0.32
0,BHV,0.019875776397515477,16.415,0.03523832,0.34759998,0.578,0.55,16.171635,,4.2,0.033299997,1.62255,,15.865,1.648,1.0348314,,9.962136,1.876
0,BIG,0.18384153127086567,53.22,0.023332685,0.0657,1.2,1.2,0.35643005,8.762767,2.84,0.0233,0.12325,6.07,33.838,18.335,1.5719013,0.73,2.901009,72.158
0,BIO,0.11810051796697962,553.56,,0,,,7.0903487,54.444336,,,0.84889,10.15,247.77,64.502,2.2303345,3.69,8.567331,0.614
0,BJ,-0.044486512068149464,40.614999999999995,,0,,,0.38538432,16.966387,,,0.0207,2.38,0.864,2.158,46.73611,0.73,18.711771,0.955
0,BKD,-0.016949152542372947,2.915,,0,,,0.16332483,-3.9726028,,,0.02497,-0.73,5.118,0.44,0.5666276,0.25,6.5909095,
0,BKE,0.1907164480322907,23.595,0.023434173,0.28059998,0.55,1.2,1.4106889,11.8,4.64,0.0511,0.11598,2,8.505,1.958,2.7748384,-1.31,12.053116,1.118
0,BKH,0.039807211710103374,58.254999999999995,0.036555786,0.66980004,2.11,2.14,2.1922915,15.05168,2.95,0.037100002,0.117,3.87,40.055,3.159,1.4542503,3.21,18.43938,0.438
0,BKI,0.16189427312775329,95.0,,0,,,12.603548,41.828194,,,0.11784001,2.27,15.786,0.941,6.014823,5.19,100.90329,0.199
0,BKK,-0.0013306719893545482,14.82,0.015543696,1.1519,0.233,3.11,35.37221,,2.94,0.20729999,0.42683,,15.092,0.181,0.99423534,,82.90056,-0.653
0,BKT,-0.004885993485341911,6.125,0.067483656,1.3316001,0.413,0.41,16.160559,,5.89,0.0675,0.84751,,6.324,0.32,0.9661607,,19.09375,-0.414
0,BKU,0.02053646269907805,22.715,0.037399065,0.4,0.88,0.92,3.0950525,9.293894,2.62,0.039100002,0.29057,2.62,29.81,2.165,0.81684,1.44,11.247113,-0.061
